"crash_unit_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"757456","JC468135","2019-10-11T00:21:00","1","DRIVER",,"719501",,"SATURN","AURA","IL","2007","NONE","PASSENGER","PERSONAL","N","SLOW/STOP IN TRAFFIC",,,"1",,,,"true",,,,,,,,,,,,,,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757457","JC468135","2019-10-11T00:21:00","2","DRIVER",,"719502",,"TOYOTA MOTOR COMPANY, LTD.","CAMRY","IL","2019","NONE","PASSENGER","PERSONAL","N","SLOW/STOP IN TRAFFIC",,,"1",,,,"true",,,,,,,,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757465","JC488144","2019-10-11T00:19:00","1","DRIVER",,"719510",,"JAGUAR","S-Type","IL","2001","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD","false",,"1",,,,,,,,,"true","true","true",,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757466","JC468138","2019-10-11T00:10:00","1","DRIVER",,"719511",,"TOYOTA MOTOR COMPANY, LTD.","Prius","IL","2013","UNKNOWN","PASSENGER","TAXI/FOR HIRE","W","OTHER",,,"1",,,,,,,,,,,,,,,"true",,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757467","JC468138","2019-10-11T00:10:00","2","DRIVER",,"719512",,"TOYOTA MOTOR COMPANY, LTD.","COROLLA","IL","2013","UNKNOWN","PASSENGER","RIDESHARE SERVICE","W","OTHER",,,"1",,,,,,,,,"true",,,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757449","JC468130","2019-10-11T00:05:00","1","PARKED",,"719493",,"ACURA","ACURA","IL","2015","NONE","PASSENGER","NOT IN USE","W","PARKED",,,"0",,,,,,,,,,,,,"true","true","true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757450","JC468129","2019-10-11T00:05:00","1","DRIVER",,"719496","true","UNKNOWN","UNKNOWN",,,"UNKNOWN","TRUCK - SINGLE UNIT","COMMERCIAL - SINGLE UNIT","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,"true",,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757451","JC468129","2019-10-11T00:05:00","2","DRIVER",,"719498",,"PONTIAC","GRAND PRIX","IL","2004","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD","true",,"1",,"private","unknown",,"true","true","true","true","true","true",,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757443","JC468118","2019-10-10T23:50:00","1","DRIVER",,"719486",,"JEEP","Wrangler (for vehicle years 1989 to present)","IL","2018","NONE","OTHER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,"true",,,,,,,,,,"true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757444","JC468118","2019-10-10T23:50:00","2","DRIVER","2","719490",,"CHEVROLET","MALIBU (CHEVELLE)","IL","2019","NONE","PASSENGER","PERSONAL","N","SLOW/STOP IN TRAFFIC",,,"3",,,,,,,,"true","true","true","true","true",,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757458","JC468115","2019-10-10T23:46:00","1","DRIVER","2","719500",,"CHEVROLET","CHEVROLET","IL",,"UNKNOWN","PASSENGER","PERSONAL","S","SKIDDING/CONTROL LOSS",,,"3",,,,,"true",,,,,,,,,,,,,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757455","JC468115","2019-10-10T23:46:00","2","DRIVER","1","719505",,"NISSAN","NISSAN","IL",,"UNKNOWN","PASSENGER","PERSONAL","S","CHANGING LANES","true",,"2",,"streets/sanitation","10300 s doty",,,,,,,,"true",,,,,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757447","JC468112","2019-10-10T23:45:00","1","DRIVER",,"719494",,"MITSUBISHI","LANCER","IL","2005","UNKNOWN","PASSENGER","PERSONAL","E","TURNING LEFT",,,"1",,,,,,,,,,,,,,,,,,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757448","JC468112","2019-10-10T23:45:00","2","DRIVER",,"719495",,"DODGE","JOURNEY","IL","2012","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,"true","true",,,"false",,,,,,,"true",,"UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757439","JC468105","2019-10-10T23:20:00","1","DRIVER",,"719483",,"KIA MOTORS CORP","SORENTO","IL","2018","NONE","VAN/MINI-VAN","RIDESHARE SERVICE","S","BACKING",,,"1",,,,"true",,,,,,,,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757440","JC468105","2019-10-10T23:20:00","2","DRIVER",,"719488",,"TOYOTA MOTOR COMPANY, LTD.","Prius","IL","2015","NONE","PASSENGER","RIDESHARE SERVICE","N","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,,,,,,,,"true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757441","JC468098","2019-10-10T23:20:00","1","DRIVER",,"719482",,"TOYOTA MOTOR COMPANY, LTD.","Highlander(beginning vehicle year 2001)",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","N","PASSING/OVERTAKING",,,"1",,,,,"true","true","true","true","true",,,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757442","JC468098","2019-10-10T23:20:00","2","DRIVER",,"719489",,"CHEVROLET","MALIBU (CHEVELLE)","IL","2009","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,"true","true","true","true","true",,,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757438","JC468091","2019-10-10T23:20:00","1","DRIVER",,"719484",,"TOYOTA MOTOR COMPANY, LTD.","COROLLA","IL","2010","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD","true",,"1",,"PRIVATE TOW","OWNERS GARAGE",,"true",,,,,,,,,,"true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757434","JC468093","2019-10-10T23:09:00","1","DRIVER","2","719480",,"DODGE","CHARGER","IL","2012","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"3",,,,,"true",,,,,,,,,,"true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757435","JC468093","2019-10-10T23:09:00","2","DRIVER",,"719487",,"FORD","ESCAPE (SUV)","IL","2012","UNKNOWN","PASSENGER","TAXI/FOR HIRE","S","STRAIGHT AHEAD",,,"1",,,,,,,,,"true","true","true","false",,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
